Date,Net_Sales,Day_No,Month_No,Week_Day,Week_No,Week_No_Mon
10/18/2014,4705331,18,10,7,42,3
10/19/2014,4116468,19,10,1,43,4
10/20/2014,3284182,20,10,2,43,4
10/21/2014,3906472,21,10,3,43,4
10/22/2014,4357768,22,10,4,43,4
10/23/2014,2397029,23,10,5,43,4
10/24/2014,3061925,24,10,6,43,4
10/25/2014,3452133,25,10,7,43,4
10/26/2014,3925987,26,10,1,44,5
10/27/2014,3439075,27,10,2,44,5
10/28/2014,3726051,28,10,3,44,5
10/29/2014,3290771,29,10,4,44,5
10/30/2014,3716327,30,10,5,44,5
10/31/2014,4723244,31,10,6,44,5
11/1/2014,3927530,1,11,7,44,1
11/2/2014,3780469,2,11,1,45,2
11/3/2014,3833195,3,11,2,45,2
11/4/2014,3537702,4,11,3,45,2
11/5/2014,3810627,5,11,4,45,2
11/6/2014,3851751,6,11,5,45,2
11/7/2014,4300241,7,11,6,45,2
11/8/2014,4374674,8,11,7,45,2
11/9/2014,4520069,9,11,1,46,3
11/10/2014,3805379,10,11,2,46,3
11/11/2014,3259526,11,11,3,46,3
11/12/2014,3949064,12,11,4,46,3
11/13/2014,4002471,13,11,5,46,3
11/14/2014,4507497,14,11,6,46,3
11/15/2014,4345089,15,11,7,46,3
11/16/2014,3948867,16,11,1,47,4
11/17/2014,3252073,17,11,2,47,4
11/18/2014,3408259,18,11,3,47,4
11/19/2014,3781087,19,11,4,47,4
11/20/2014,4507495,20,11,5,47,4
11/21/2014,4608475,21,11,6,47,4
11/22/2014,4590342,22,11,7,47,4
11/23/2014,4382881,23,11,1,48,5
11/24/2014,3578315,24,11,2,48,5
11/25/2014,3920247,25,11,3,48,5
11/26/2014,3858081,26,11,4,48,5
11/27/2014,4426584,27,11,5,48,5
11/28/2014,4931997,28,11,6,48,5
11/29/2014,4515688,29,11,7,48,5
11/30/2014,4356823,30,11,1,49,6
12/1/2014,3496961,1,12,2,49,1
12/2/2014,3778022,2,12,3,49,1
12/3/2014,3876161,3,12,4,49,1
12/4/2014,4005172,4,12,5,49,1
12/5/2014,4705813,5,12,6,49,1
12/6/2014,4437062,6,12,7,49,1
12/7/2014,4711740,7,12,1,50,2
12/8/2014,4352617,8,12,2,50,2
12/9/2014,4529321,9,12,3,50,2
12/10/2014,4220468,10,12,4,50,2
12/11/2014,4613921,11,12,5,50,2
12/12/2014,4923919,12,12,6,50,2
12/13/2014,4744459,13,12,7,50,2
12/14/2014,4694979,14,12,1,51,3
12/15/2014,4284672,15,12,2,51,3
12/16/2014,4050565,16,12,3,51,3
12/17/2014,4151198,17,12,4,51,3
12/18/2014,4540390,18,12,5,51,3
12/19/2014,4564996,19,12,6,51,3
12/20/2014,4397820,20,12,7,51,3
12/21/2014,4410447,21,12,1,52,4
12/22/2014,4176731,22,12,2,52,4
12/23/2014,4151323,23,12,3,52,4
12/24/2014,5156484,24,12,4,52,4
12/25/2014,4083408,25,12,5,52,4
12/26/2014,4341058,26,12,6,52,4
12/27/2014,4339596,27,12,7,52,4
12/28/2014,5041891,28,12,1,1,1
12/29/2014,4504824,29,12,2,1,1
12/30/2014,4763443,30,12,3,1,1
12/31/2014,4151463,31,12,4,1,1
