Date,Net_Sales,Day_No,Month_No,Week_Day,Week_No,Week_No_Mon
5/31/2013,3308444,31,5,6,22,5
6/1/2013,3147948,1,6,7,22,1
6/2/2013,3158547,2,6,1,23,2
6/3/2013,2575383,3,6,2,23,2
6/4/2013,2799852,4,6,3,23,2
6/5/2013,2922205,5,6,4,23,2
6/6/2013,3045007,6,6,5,23,2
6/7/2013,3225388,7,6,6,23,2
6/8/2013,3394469,8,6,7,23,2
6/9/2013,3101771,9,6,1,24,3
6/10/2013,2610728,10,6,2,24,3
6/11/2013,2566578,11,6,3,24,3
6/12/2013,2511272,12,6,4,24,3
6/13/2013,2718801,13,6,5,24,3
6/14/2013,3356367,14,6,6,24,3
6/15/2013,3024378,15,6,7,24,3
6/16/2013,2616370,16,6,1,25,4
6/17/2013,2691136,17,6,2,25,4
6/18/2013,2457252,18,6,3,25,4
6/19/2013,2396526,19,6,4,25,4
6/20/2013,2817441,20,6,5,25,4
6/21/2013,2997287,21,6,6,25,4
6/22/2013,2851915,22,6,7,25,4
6/23/2013,2709492,23,6,1,26,5
6/24/2013,2228047,24,6,2,26,5
6/25/2013,2296864,25,6,3,26,5
6/26/2013,2376764,26,6,4,26,5
6/27/2013,2813878,27,6,5,26,5
6/28/2013,3246293,28,6,6,26,5
6/29/2013,2933394,29,6,7,26,5
6/30/2013,2957068,30,6,1,27,6
7/1/2013,2349703,1,7,2,27,1
7/2/2013,2436904,2,7,3,27,1
7/3/2013,2879848,3,7,4,27,1
7/4/2013,2698161,4,7,5,27,1
7/5/2013,3151093,5,7,6,27,1
7/6/2013,3044684,6,7,7,27,1
7/7/2013,2861009,7,7,1,28,2
7/8/2013,2489752,8,7,2,28,2
7/9/2013,2852855,9,7,3,28,2
7/10/2013,2828920,10,7,4,28,2
7/11/2013,3311526,11,7,5,28,2
7/12/2013,4434680,12,7,6,28,2
7/13/2013,3141547,13,7,7,28,2
7/14/2013,2885490,14,7,1,29,3
7/15/2013,2616049,15,7,2,29,3
7/16/2013,2732976,16,7,3,29,3
